open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1748901600000,104886.20,105769.00,104878.10,105649.90,11597.678,1748905199999,1223004426.81730,186083,6133.479,646732877.14540,0
1748905200000,105650.00,105893.80,105517.10,105814.30,6335.011,1748908799999,670036231.73850,128501,2923.031,309178593.32800,0
1748908800000,105814.40,106368.90,105699.90,106231.90,10207.033,1748912399999,1082880038.02010,186628,5174.493,549013649.72060,0
1748912400000,106231.90,106460.00,106068.60,106442.60,4589.748,1748915999999,487682322.42150,109412,2301.200,244541892.28830,0
1748916000000,106442.70,106470.80,105495.60,105553.90,9375.215,1748919599999,992886160.28080,153178,4259.826,451024379.34480,0
1748919600000,105553.90,105659.50,105280.00,105448.80,5149.064,1748923199999,543057533.75470,97845,2595.418,273716745.61290,0
1748923200000,105448.80,105475.40,105062.50,105134.90,4618.480,1748926799999,486047951.22680,81566,2188.138,230281246.60480,0
1748926800000,105135.00,105420.00,105134.90,105407.90,3560.304,1748930399999,374862229.68580,63771,2010.052,211644328.95510,0
1748930400000,105408.00,105419.30,105161.20,105368.30,2536.317,1748933999999,267043364.00070,52499,1287.629,135571248.04450,0
1748934000000,105368.40,105390.10,105108.10,105134.40,2241.421,1748937599999,235888328.53170,52052,1153.069,121359719.44570,0
1748937600000,105134.40,105207.10,104822.40,105040.00,4651.804,1748941199999,488313348.94880,90362,2220.474,233101852.52230,0
1748941200000,105040.00,105233.10,105011.00,105142.30,3201.079,1748944799999,336498876.39270,55621,1988.743,209059004.86350,0
1748944800000,105142.20,105302.70,105091.60,105231.30,2576.894,1748948399999,271138848.86370,46573,1322.697,139172419.40290,0
1748948400000,105231.30,105305.20,105121.00,105240.10,1859.681,1748951999999,195668069.58620,42849,834.117,87766619.34620,0
1748952000000,105240.10,105408.70,105179.20,105259.00,2847.520,1748955599999,299826286.61300,58419,1433.648,150960409.63070,0
1748955600000,105259.00,105646.10,104969.40,105370.50,7948.242,1748959199999,837391364.69900,154949,3990.210,420469857.63570,0
1748959200000,105370.40,106666.00,105092.00,106495.10,18632.331,1748962799999,1975318449.08030,316078,10135.011,1074581179.35990,0
1748962800000,106495.00,106775.00,106273.70,106556.10,12808.540,1748966399999,1364536233.17230,218813,5763.071,614003231.89770,0
1748966400000,106556.10,106619.60,105715.00,105760.80,9028.267,1748969999999,958570771.05400,176803,3849.942,408863634.79000,0
1748970000000,105760.90,106095.40,105678.40,105890.00,5210.919,1748973599999,551804406.91970,125032,2787.512,295191953.20680,0
1748973600000,105889.90,105996.00,105526.20,105959.90,4960.201,1748977199999,524579518.88680,96605,2775.847,293599818.24460,0
1748977200000,105959.90,106385.00,105959.90,106171.80,5839.945,1748980799999,620100156.75130,95296,3043.411,323138808.14370,0
1748980800000,106179.70,106208.00,105300.10,105692.10,5879.049,1748984399999,621414154.53880,109788,2808.680,296900697.82720,0
1748984400000,105692.10,105799.20,105200.40,105312.00,4209.966,1748987999999,444060995.31920,74844,1947.000,205413066.96110,0
1748988000000,105311.90,105842.20,105250.00,105686.50,3442.665,1748991599999,363677387.93240,77572,1730.759,182808034.74050,0
1748991600000,105686.60,105686.60,105220.00,105330.10,3841.322,1748995199999,404869112.10480,70353,2129.192,224380090.83120,0
1748995200000,105330.10,105483.80,105072.00,105428.00,5276.534,1748998799999,555587473.28240,100309,2780.443,292827707.46030,0
1748998800000,105428.00,105683.60,105353.20,105524.80,3352.097,1749002399999,353756537.82370,75039,1656.718,174843440.77140,0
1749002400000,105524.80,105800.00,105364.80,105432.30,4064.934,1749005999999,429356559.07460,78404,2123.651,224323669.09820,0
1749006000000,105432.20,105710.10,105390.00,105474.90,2461.063,1749009599999,259843908.27490,59871,1313.827,138712924.72220,0
1749009600000,105474.80,105566.40,105351.00,105369.30,2313.537,1749013199999,243938709.07400,48882,1198.450,126370898.01590,0
1749013200000,105369.40,105480.10,105290.20,105307.30,3212.122,1749016799999,338418700.27290,63679,1758.062,185232291.53890,0
1749016800000,105307.30,105391.50,105200.00,105249.80,2367.210,1749020399999,249217622.63130,53904,1175.236,123732311.86350,0
1749020400000,105249.90,105427.10,105208.90,105260.20,2074.170,1749023999999,218377374.30780,44735,1146.855,120747347.74790,0
1749024000000,105260.10,105560.00,105260.10,105391.80,2781.181,1749027599999,293146843.87900,54239,1713.555,180613856.80660,0
1749027600000,105391.70,105869.70,105279.30,105783.40,4967.734,1749031199999,524572593.02360,87440,2726.104,287860702.48080,0
1749031200000,105783.50,105967.20,105603.30,105650.40,4485.325,1749034799999,474408772.10790,81336,2012.263,212836918.94830,0
1749034800000,105650.30,105756.20,105039.10,105044.10,9995.038,1749038399999,1052709309.82310,150160,4603.821,484979749.68440,0
1749038400000,105044.20,105119.60,104718.20,104988.10,8931.175,1749041999999,937297340.39150,149638,4165.940,437230237.21720,0
1749042000000,104988.10,105228.60,104620.00,104702.60,8499.962,1749045599999,891846821.53570,157390,4162.267,436813981.54370,0
1749045600000,104702.50,104986.20,104111.70,104968.90,15412.817,1749049199999,1610772471.46270,245944,7703.228,805099965.41270,0
1749049200000,104969.00,105510.20,104869.80,105254.70,11186.317,1749052799999,1177592891.06480,209650,5679.071,597854428.33640,0
1749052800000,105254.70,105423.00,105041.00,105408.80,4937.038,1749056399999,519544875.75730,102528,2307.402,242835129.91880,0
1749056400000,105408.80,105437.80,104900.00,105000.70,3945.736,1749059999999,414944245.00730,79121,1704.064,179202191.06450,0
1749060000000,105000.70,105251.60,104877.80,104905.80,2441.100,1749063599999,256516731.71340,59224,1240.398,130357296.51810,0
1749063600000,104905.80,105043.20,104824.00,104870.40,2730.222,1749067199999,286463893.35180,61877,1459.575,153145324.58940,0
1749067200000,104870.40,104915.20,104350.00,104558.90,5962.647,1749070799999,623666803.67120,105678,2347.273,245508889.38350,0
1749070800000,104558.90,105006.30,104490.50,104866.30,3223.306,1749074399999,337759897.45500,57074,1780.631,186616753.55140,0
1749074400000,104866.40,104980.50,104681.00,104727.50,1940.918,1749077999999,203413942.35560,53384,962.497,100868798.12800,0
1749078000000,104727.50,104819.40,104568.00,104641.80,1971.942,1749081599999,206408834.49880,48403,900.410,94253616.32890,0
1749081600000,104641.80,104940.00,104594.80,104939.00,3216.492,1749085199999,337120772.21780,61612,1516.318,158912675.16060,0
1749085200000,104939.00,105132.10,104642.80,104732.90,3818.269,1749088799999,400612767.85110,75173,1668.028,175008697.06810,0
1749088800000,104733.00,105225.60,104728.70,104951.20,3245.701,1749092399999,340827053.65090,67393,1822.520,191374339.58340,0
1749092400000,104951.10,105033.00,104827.90,104991.40,1575.949,1749095999999,165363315.26900,44689,873.448,91653995.16490,0
1749096000000,104991.50,105183.00,104988.00,105134.50,1772.651,1749099599999,186300870.49660,44172,896.870,94258193.31660,0
1749099600000,105134.60,105145.00,104529.30,104600.30,5776.913,1749103199999,605283984.79030,86458,2444.860,256099746.88140,0
1749103200000,104600.40,104651.20,104321.20,104408.50,4818.104,1749106799999,503435333.01380,91473,2382.834,248984839.35490,0
1749106800000,104408.60,104576.40,104364.10,104473.00,3119.892,1749110399999,325988195.56360,57675,1580.234,165119389.12170,0
1749110400000,104473.10,104635.30,104373.00,104630.00,2489.215,1749113999999,260245929.51100,51589,1426.419,149143781.36810,0
1749114000000,104629.90,104880.00,104614.60,104854.90,2601.461,1749117599999,272516862.72240,52327,1519.754,159204558.78320,0
1749117600000,104854.90,104855.00,104463.10,104613.20,3153.071,1749121199999,329937235.15890,64958,1299.408,135959347.80030,0
1749121200000,104613.20,104809.80,104500.00,104772.70,2044.413,1749124799999,214035841.18270,49756,1165.330,122001769.10290,0
1749124800000,104772.70,105744.70,104734.60,105600.70,12253.463,1749128399999,1290747971.05110,215676,6906.813,727461778.67050,0
1749128400000,105600.70,105878.30,104252.60,104475.30,22022.636,1749131999999,2314862348.72040,339508,9364.429,984171918.97560,0
1749132000000,104475.30,104918.00,103825.00,104588.50,24429.542,1749135599999,2547951305.72210,376507,12612.820,1315715839.84440,0
1749135600000,104588.40,104825.00,104267.30,104490.50,9891.179,1749139199999,1034749958.99670,150765,4709.704,492658572.46810,0
1749139200000,104490.50,104547.90,103179.90,103208.80,19797.555,1749142799999,2055163622.00700,318929,7951.677,825566153.18380,0
1749142800000,103208.80,103541.50,103080.10,103201.00,12270.479,1749146399999,1267767610.65580,220793,6509.623,672621810.95330,0
1749146400000,103201.00,103299.00,102514.60,102949.90,16189.569,1749149999999,1666281546.96140,282236,7086.659,729600167.17400,0
1749150000000,102949.90,102995.30,101500.00,101872.90,28080.875,1749153599999,2867405846.70700,419677,12896.760,1316710709.92400,0
1749153600000,101873.00,102163.90,100305.10,100428.80,31087.015,1749157199999,3143025673.04440,497987,13389.394,1354221902.07030,0
1749157200000,100428.90,101600.00,100370.30,101488.20,19211.176,1749160799999,1940565526.43080,291709,10509.332,1061503605.11780,0
1749160800000,101488.10,101650.80,100972.50,101448.40,7863.224,1749164399999,796578798.24160,150140,3974.724,402695740.19270,0
1749164400000,101448.40,101775.90,101418.20,101458.60,5509.830,1749167999999,559765583.01830,108862,2658.381,270087864.99500,0
1749168000000,101458.70,101854.70,101003.40,101842.00,9573.237,1749171599999,971344428.30730,163476,4753.406,482409978.44480,0
1749171600000,101842.00,101898.80,101626.80,101796.80,3784.225,1749175199999,385218373.40150,75069,1718.545,174949119.61750,0
1749175200000,101796.70,102178.10,101480.00,102148.10,5566.824,1749178799999,566634549.04270,102752,3053.207,310884076.90870,0
1749178800000,102148.10,102464.70,102000.00,102444.90,5473.526,1749182399999,559746701.44330,99983,2923.601,298984509.17300,0
1749182400000,102445.00,102746.00,102321.10,102726.40,6417.555,1749185999999,658031930.14540,114796,3249.341,333228237.33710,0
1749186000000,102726.40,102910.00,102620.00,102899.20,5595.453,1749189599999,575018640.09320,84154,2676.216,275048297.32570,0
1749189600000,102899.20,103193.00,102832.30,103116.40,9604.288,1749193199999,989398248.77740,132764,4906.929,505490923.41420,0
1749193200000,103116.40,103424.50,102997.30,103096.80,7306.649,1749196799999,753800022.75150,110144,3224.403,332645689.57250,0
1749196800000,103096.70,103544.10,103096.70,103445.70,5935.446,1749200399999,613494883.95010,96769,3118.068,322262972.45440,0
1749200400000,103445.70,103720.00,103445.60,103593.70,6624.799,1749203999999,686250883.54530,113080,3476.625,360161522.01180,0
1749204000000,103593.70,103749.00,103500.00,103626.80,4592.097,1749207599999,475875649.38310,83231,1971.509,204306195.83470,0
1749207600000,103626.90,103953.90,103589.50,103866.00,7150.223,1749211199999,742033000.85300,108280,3572.128,370729496.18320,0
1749211200000,103865.90,104293.80,103471.40,103702.30,15191.667,1749214799999,1578221646.48670,222420,7209.304,749059959.20900,0
1749214800000,103702.40,104483.20,103702.30,104033.10,13235.493,1749218399999,1378514189.25290,216334,6648.867,692534404.32880,0
1749218400000,104033.10,104863.10,103949.90,104718.30,13886.791,1749221999999,1450956073.33200,219577,7113.983,743345107.03180,0
1749222000000,104718.30,105283.00,104552.90,105035.40,19460.160,1749225599999,2041277442.08270,285948,10089.968,1058621145.66560,0
1749225600000,105035.40,105240.00,104645.60,104715.20,7741.170,1749229199999,812585693.74690,146944,3318.711,348399564.97320,0
1749229200000,104715.20,104923.50,104371.60,104874.90,8813.302,1749232799999,921823743.67080,146178,3983.441,416723165.76400,0
1749232800000,104875.00,104929.20,104422.00,104455.70,3965.696,1749236399999,414821311.90970,87694,1741.319,182128785.04700,0
1749236400000,104455.60,104559.70,104010.00,104176.90,5028.402,1749239999999,524341321.97310,102443,2493.665,260042593.96720,0
1749240000000,104177.00,104574.90,104109.20,104429.60,3542.834,1749243599999,369696487.07610,72656,2027.576,211580917.05820,0
1749243600000,104429.70,104447.30,104234.40,104335.40,2238.508,1749247199999,233529378.73970,41633,1303.421,135971417.74310,0
1749247200000,104335.50,104425.80,104174.80,104425.70,1988.359,1749250799999,207342436.45500,42584,1134.045,118250210.46740,0
1749250800000,104425.70,104434.70,104140.30,104240.00,1584.202,1749254399999,165146182.18440,41316,737.325,76862162.49950,0
1749254400000,104240.10,104475.80,103800.10,104470.50,5477.850,1749257999999,570345810.45360,98694,2803.166,291948373.31620,0
1749258000000,104470.50,104525.10,104283.50,104386.50,2790.818,1749261599999,291366687.95120,63426,1339.668,139872032.56520,0
1749261600000,104386.50,104580.00,104270.00,104475.20,2320.411,1749265199999,242295857.35990,51113,1296.551,135408161.49170,0
1749265200000,104475.30,104856.00,104430.00,104822.40,5198.890,1749268799999,544320887.38330,87500,2990.608,313126128.58910,0
1749268800000,104822.40,104822.40,104591.90,104765.00,1947.795,1749272399999,203930218.75570,50137,745.330,78037072.42880,0
1749272400000,104765.00,104954.30,104688.00,104823.50,2754.938,1749275999999,288809566.14190,50935,1533.487,160786863.46610,0
1749276000000,104823.50,105293.00,104728.50,105272.20,4760.171,1749279599999,499933322.23080,81174,3067.737,322217662.72980,0
1749279600000,105272.20,105281.00,104779.40,104813.60,3949.537,1749283199999,414546892.98900,73036,1604.529,168394763.34790,0
1749283200000,104813.70,104919.00,104632.00,104692.30,2409.423,1749286799999,252454467.79440,46431,1066.278,111730496.67300,0
1749286800000,104692.20,104896.30,104692.20,104788.20,1579.083,1749290399999,165501297.67470,37280,822.950,86253627.81770,0
1749290400000,104788.10,105158.60,104780.30,105090.90,3761.033,1749293999999,394949611.14540,68945,2314.189,243013133.99790,0
1749294000000,105090.90,105222.00,105006.50,105094.50,3162.910,1749297599999,332543735.52520,60660,1614.914,169797409.42910,0
1749297600000,105094.50,105700.00,105094.40,105402.90,7728.829,1749301199999,814805631.45570,120289,4714.928,497163165.46060,0
1749301200000,105402.80,105758.80,105249.40,105550.50,5480.591,1749304799999,578361379.57540,97293,2999.619,316580968.07200,0
1749304800000,105550.50,105645.60,105333.00,105370.10,3751.686,1749308399999,395696922.35740,78076,1639.634,172949317.89980,0
1749308400000,105370.00,105542.40,105265.00,105507.90,2699.773,1749311999999,284569542.58610,62533,1429.812,150714422.34180,0
1749312000000,105507.90,105629.90,105222.60,105302.00,3146.335,1749315599999,331706265.77650,60927,1395.654,147156599.34390,0
1749315600000,105301.90,105514.70,105290.00,105348.40,1616.868,1749319199999,170427851.28060,35854,848.843,89471333.75530,0
1749319200000,105348.40,105850.00,105348.40,105574.80,6232.350,1749322799999,658526019.24630,93004,3723.674,393492466.34840,0
1749322800000,105574.80,105831.20,105560.20,105694.20,2313.869,1749326399999,244619866.47090,48182,1111.842,117532035.31900,0
1749326400000,105694.10,105878.30,105687.70,105800.00,1900.354,1749329999999,201068972.04040,37824,1001.274,105943181.83370,0
1749330000000,105800.00,105822.60,105642.50,105713.60,1136.720,1749333599999,120217806.16520,27050,424.510,44897681.25440,0
1749333600000,105713.60,105871.00,105605.80,105764.90,1730.694,1749337199999,183031813.66560,41119,886.759,93784470.38190,0
1749337200000,105765.00,105765.00,105482.70,105507.50,1982.245,1749340799999,209301064.50080,39361,827.503,87368332.86830,0
1749340800000,105507.50,105625.10,105389.20,105427.60,2539.023,1749344399999,267779000.60140,47924,1236.612,130425132.16570,0
1749344400000,105427.60,105760.50,105347.00,105644.50,2131.633,1749347999999,224977381.42080,43781,1232.810,130124496.26820,0
1749348000000,105644.50,105644.60,105384.30,105399.70,2098.600,1749351599999,221351631.41100,40217,767.002,80899505.76790,0
1749351600000,105399.70,105463.30,105350.10,105436.40,1300.814,1749355199999,137097619.09370,26625,702.047,73993602.96320,0
1749355200000,105436.50,105600.00,105369.80,105565.80,1471.358,1749358799999,155211023.03980,29962,928.672,97963807.35890,0
1749358800000,105565.80,105617.20,105358.20,105386.40,1450.095,1749362399999,152967850.39220,27979,637.764,67288643.89030,0
1749362400000,105386.40,105551.30,105378.00,105395.40,1276.965,1749365999999,134668590.32470,30576,685.333,72275844.99120,0
1749366000000,105395.30,105513.00,105359.10,105380.40,1450.517,1749369599999,152905004.41330,28939,733.812,77353614.24410,0
1749369600000,105380.50,105454.00,105311.00,105327.10,1557.992,1749373199999,164197084.74440,31385,786.304,82870748.49600,0
1749373200000,105327.00,105360.10,105009.90,105093.50,5022.181,1749376799999,528333601.68870,84828,2353.444,247582472.96320,0
1749376800000,105093.50,105425.00,104927.40,105298.40,4985.018,1749380399999,524295219.12230,89273,2508.844,263858903.61550,0
1749380400000,105298.40,105666.60,105298.30,105619.20,4198.499,1749383999999,443036552.01680,76850,2323.037,245127592.23840,0
1749384000000,105619.20,105725.10,105450.00,105657.70,4317.335,1749387599999,455856106.58950,79814,2003.268,211535927.08580,0
1749387600000,105657.60,106200.00,105500.00,105558.80,8349.041,1749391199999,883214071.73830,127275,4274.286,452347556.31240,0
1749391200000,105558.90,105862.90,105500.00,105766.80,3164.195,1749394799999,334360040.10170,68873,1673.391,176841755.80400,0
1749394800000,105766.70,106048.40,105759.00,105917.50,3656.401,1749398399999,387294311.18540,69138,1919.584,203331237.28340,0
1749398400000,105917.60,106200.00,105888.50,106133.40,5512.057,1749401999999,584881347.15400,90486,3203.805,339986033.15010,0
1749402000000,106133.30,106300.00,106015.10,106030.10,4391.366,1749405599999,466349012.59250,71229,2366.942,251406994.59610,0
1749405600000,106030.10,106282.00,105969.40,106249.50,2047.092,1749409199999,217337442.41550,42565,1114.610,118340693.09640,0
1749409200000,106249.40,106287.20,106116.10,106242.60,1252.215,1749412799999,133019884.12540,28890,573.249,60896662.66560,0
1749412800000,106242.60,106279.10,106056.20,106098.90,1349.862,1749416399999,143362507.68370,29442,619.826,65835547.63480,0
1749416400000,106098.90,106482.60,106098.80,106271.00,2323.637,1749419999999,247018528.39330,44751,1584.862,168498346.08710,0
1749420000000,106271.00,106315.00,105627.20,105710.30,5656.911,1749423599999,599006497.84360,104036,2605.369,275905840.01800,0
1749423600000,105710.20,105735.20,105511.00,105676.50,3602.297,1749427199999,380493088.34290,82887,1911.001,201851634.63930,0
1749427200000,105676.50,105929.80,105526.00,105651.40,4199.008,1749430799999,443806650.66520,102420,2265.884,239495404.58760,0
1749430800000,105651.30,105696.70,105374.20,105476.40,3169.458,1749434399999,334474125.46650,68432,1599.630,168820765.96110,0
1749434400000,105476.40,105683.30,105420.00,105512.80,1990.921,1749437999999,210164684.99180,51651,1096.299,115725937.49070,0
1749438000000,105512.80,105660.30,105253.20,105617.00,3281.453,1749441599999,345981440.11020,63642,1682.335,177399184.21830,0
1749441600000,105617.00,105685.70,105365.30,105395.40,2179.295,1749445199999,230007300.88100,45357,1065.332,112452739.94890,0
1749445200000,105395.50,105485.90,105284.80,105328.80,2129.330,1749448799999,224356113.38130,47182,1128.379,118896727.86370,0
1749448800000,105328.80,105670.00,105265.00,105646.60,2756.794,1749452399999,290763287.69970,50345,1681.919,177412841.77130,0
1749452400000,105646.50,105646.50,105447.00,105516.70,1665.911,1749455999999,175793963.25830,37356,797.938,84199790.93910,0
1749456000000,105516.70,105906.60,105429.20,105889.80,4052.004,1749459599999,428245466.14100,69827,2484.876,262648686.13160,0
1749459600000,105889.80,106877.30,105778.20,106562.00,14434.857,1749463199999,1536735979.50180,232943,8146.547,867320008.42340,0
1749463200000,106562.00,107443.10,106511.40,107136.30,17391.966,1749466799999,1862571237.58920,256627,10108.237,1082495057.48200,0
1749466800000,107136.40,107774.80,107091.30,107707.90,13377.593,1749470399999,1437741995.37600,209666,7313.725,786059696.23300,0
1749470400000,107707.80,107912.80,107490.30,107695.60,9009.099,1749473999999,970153904.10510,127457,4369.081,470551407.56180,0
1749474000000,107695.50,107838.80,106800.30,106971.00,12756.963,1749477599999,1369020332.55330,205890,5629.049,604111695.78920,0
1749477600000,106971.00,107985.00,106970.90,107561.20,14233.645,1749481199999,1530384826.36720,234298,7251.793,779901237.38030,0
1749481200000,107561.10,107979.00,107468.50,107564.30,7731.276,1749484799999,833104014.22470,146877,3553.673,382941994.21900,0
1749484800000,107564.30,108100.00,107563.40,107647.60,7722.439,1749488399999,832950843.00890,146465,3918.376,422699374.07400,0
1749488400000,107647.70,108366.00,107600.00,108282.70,9416.412,1749491999999,1018568571.69440,167496,5092.387,550848712.33520,0
1749492000000,108282.70,108496.90,108223.70,108386.20,6190.933,1749495599999,670891733.50450,106775,2987.489,323764030.71290,0
1749495600000,108386.30,108791.80,108278.10,108515.10,8299.663,1749499199999,900794433.40670,128860,4878.735,529597956.95170,0
1749499200000,108515.10,108682.70,108383.00,108637.20,3374.032,1749502799999,366351357.27510,64890,1585.824,172203358.25960,0
1749502800000,108637.30,110653.60,108637.20,109935.80,28103.972,1749506399999,3082556348.46880,383636,16889.974,1852067360.06820,0
1749506400000,109935.90,110383.90,109690.80,110132.40,8832.286,1749509999999,972239439.52170,145586,4545.594,500390743.69120,0
1749510000000,110132.30,110277.90,109840.20,110227.90,6657.099,1749513599999,732730765.73490,112524,3569.810,392924447.84780,0
1749513600000,110228.00,110280.00,109861.90,109870.50,6585.190,1749517199999,724856392.08860,110231,3160.441,347929517.22490,0
1749517200000,109870.50,109916.70,109600.00,109742.70,5046.959,1749520799999,553979501.33810,82875,2167.464,237915442.19970,0
1749520800000,109742.70,109742.70,109340.00,109608.50,6124.482,1749524399999,670842770.32310,102590,2659.211,291271905.77360,0
1749524400000,109608.50,109645.20,109341.10,109525.80,3122.758,1749527999999,341751830.40560,74908,1583.888,173344506.83310,0
1749528000000,109525.90,109611.50,109321.30,109486.80,2599.201,1749531599999,284476196.89250,58285,1352.167,147995213.28840,0
1749531600000,109486.90,109690.80,109160.00,109271.70,6017.549,1749535199999,658151168.82870,97513,2825.610,309040497.64530,0
1749535200000,109271.70,109600.00,109100.00,109460.10,4842.089,1749538799999,529449411.47350,90860,2874.871,314315146.90280,0
1749538800000,109460.10,109476.50,109041.10,109178.00,4181.585,1749542399999,456863470.58810,83997,1967.212,214965684.07800,0
1749542400000,109178.10,109378.90,109010.20,109051.50,4143.792,1749545999999,452430979.63670,73413,1894.679,206879783.27980,0
1749546000000,109051.40,109490.00,109037.10,109475.50,4297.695,1749549599999,469709057.89060,81508,2431.055,265678036.37270,0
1749549600000,109475.40,109544.20,109227.90,109262.00,3327.587,1749553199999,363954279.99250,61561,1632.841,178587065.52730,0
